Participant,Condition,Pred,Match,Length Type,Start Time,Onset of 1st syllable in character name ,Time to say character name ,Time to respond,Start time - time to respond,Onset of 1st syllable - time to respond,Onset of 1st syllable - time to say character name - response time,Start Time ms,Onset of 1st syllable in character name ms,Response Time,Time to Say Character Name,Start time - time to respond ms,Onset of 1st syllable - time to respond ms,RTms,Response?,Disfluent?,Incorrect?
1,1,Pred,Match,Short,1.4329,5.5311,0.399,6.4911,5.0582,0.96,0.561,1432.9,5531.1,6491.1,399,5058.2,960,561,Yes,No,
1,1,Pred,Match,Long,1.6372,5.3733,0.948,6.5074,4.8702,1.1341,0.1861,1637.2,5373.3,6507.4,948,4870.2,1134.1,186.1,Yes,No,
1,1,Pred,Match,Long,1.654,5.2584,0.927,6.5848,4.9308,1.3264,0.3994,1654,5258.4,6584.8,927,4930.8,1326.4,399.4,Yes,No,
1,1,Pred,Match,Long,1.6717,5.2673,0.824,6.4179,4.7462,1.1506,0.3266,1671.7,5267.3,6417.9,824,4746.2,1150.6,326.6,Yes,No,
1,1,Pred,Match,Short,1.6769,5.3374,0.555,6.2653,4.5884,0.9279,0.3729,1676.9,5337.4,6265.3,555,4588.4,927.9,372.9,Yes,No,
1,1,Pred,Match,Short,1.4816,5.7594,0.742,7.3593,5.8777,1.5999,0.8579,1481.6,5759.4,7359.3,742,5877.7,1599.9,857.9,Yes,No,
1,1,Pred,Match,Long,1.6915,5.3392,0.81,6.4375,4.746,1.0983,0.2883,1691.5,5339.2,6437.5,810,4746,1098.3,288.3,Yes,No,
1,1,Pred,Match,Long,1.4967,5.3264,0.891,6.8516,5.3549,1.5252,0.6342,1496.7,5326.4,6851.6,891,5354.9,1525.2,634.2,Yes,No,
1,1,Pred,Match,Long,1.4804,5.4961,1.269,7.3556,5.8752,1.8595,0.5905,1480.4,5496.1,7355.6,1269,5875.2,1859.5,590.5,Yes,No,
1,1,Pred,Match,Short,1.6673,5.4464,0.681,6.5077,4.8404,1.0613,0.3803,1667.3,5446.4,6507.7,681,4840.4,1061.3,380.3,Yes,No,
1,1,Pred,Match,Short,1.5147,5.4682,1.009,6.7981,5.2834,1.3299,0.3209,1514.7,5468.2,6798.1,1009,5283.4,1329.9,320.9,Yes,No,
1,1,Pred,Match,Short,1.4605,5.4279,0.775,6.8173,5.3568,1.3894,0.6144,1460.5,5427.9,6817.3,775,5356.8,1389.4,614.4,Yes,No,
1,1,Pred,Match,Short,1.4756,5.439,0.707,8.6401,7.1645,3.2011,2.4941,1475.6,5439,8640.1,707,7164.5,3201.1,2494.1,Yes,No,
1,1,Pred,Match,Long,1.4507,5.4139,1.768,7.2233,5.7726,1.8094,0.0414,1450.7,5413.9,7223.3,1768,5772.6,1809.4,41.4,Yes,No,
1,1,Pred,Match,Long,1.4768,5.433,1.153,6.8975,5.4207,1.4645,0.3115,1476.8,5433,6897.5,1153,5420.7,1464.5,311.5,Yes,No,
1,1,Pred,Match,Short,1.662,5.247,0.647,6.0819,4.4199,0.8349,0.1879,1662,5247,6081.9,647,4419.9,834.9,187.9,Yes,No,
1,1,Pred,Match,Short,1.4822,5.375,0.447,5.9353,4.4531,0.5603,0.1133,1482.2,5375,5935.3,447,4453.1,560.3,113.3,Yes,No,
1,1,Pred,Match,Long,1.672,5.3721,1.329,6.919,5.247,1.5469,0.2179,1672,5372.1,6919,1329,5247,1546.9,217.9,Yes,No,
1,1,Pred,Match,Long,1.4723,5.3361,0.863,8.3817,6.9094,3.0456,2.1826,1472.3,5336.1,8381.7,863,6909.4,3045.6,2182.6,Yes,No,
1,1,Pred,Match,Long,1.4671,5.3958,0.788,6.0637,4.5966,0.6679,-0.1201,1467.1,5395.8,6063.7,788,4596.6,667.9,-120.1,Yes,No,
1,1,Pred,Match,Short,1.6621,5.2029,0.539,5.4983,3.8362,0.2954,-0.2436,1662.1,5202.9,5498.3,539,3836.2,295.4,-243.6,Yes,No,
1,1,Pred,Match,Long,1.5018,5.5007,0.959,6.5708,5.069,1.0701,0.1111,1501.8,5500.7,6570.8,959,5069,1070.1,111.1,Yes,No,
1,1,Pred,Match,Short,1.4829,5.2272,0.399,5.8648,4.3819,0.6376,0.2386,1482.9,5227.2,5864.8,399,4381.9,637.6,238.6,Yes,No,
1,1,Pred,Match,Short,1.4955,5.6238,0.715,6.2176,4.7221,0.5938,-0.1212,1495.5,5623.8,6217.6,715,4722.1,593.8,-121.2,No,No,
1,2,Unpred,Match,Long,1.6825,5.3719,0.804,6.4824,4.7999,1.1105,0.3065,1682.5,5371.9,6482.4,804,4799.9,1110.5,306.5,No,No,
1,2,Unpred,Match,Short,1.6887,5.2142,0.651,6.4748,4.7861,1.2606,0.6096,1688.7,5214.2,6474.8,651,4786.1,1260.6,609.6,No,No,
1,2,Unpred,Match,Short,1.4731,5.4145,0.725,6.5827,5.1096,1.1682,0.4432,1473.1,5414.5,6582.7,725,5109.6,1168.2,443.2,No,No,
1,2,Unpred,Match,Short,1.4788,5.1912,0.445,6.1936,4.7148,1.0024,0.5574,1478.8,5191.2,6193.6,445,4714.8,1002.4,557.4,No,No,
1,2,Unpred,Match,Long,1.4591,5.291,0.923,6.5942,5.1351,1.3032,0.3802,1459.1,5291,6594.2,923,5135.1,1303.2,380.2,No,No,
1,2,Unpred,Match,Long,1.4543,5.5529,1.273,7.1046,5.6503,1.5517,0.2787,1454.3,5552.9,7104.6,1273,5650.3,1551.7,278.7,No,No,
1,2,Unpred,Match,Long,1.4913,5.4079,0.86,6.6693,5.178,1.2614,0.4014,1491.3,5407.9,6669.3,860,5178,1261.4,401.4,No,No,
1,2,Unpred,Match,Long,1.5131,5.2024,0.98,6.6661,5.153,1.4637,0.4837,1513.1,5202.4,6666.1,980,5153,1463.7,483.7,No,No,
1,2,Unpred,Match,Long,1.6216,5.3368,1.302,6.9007,5.2791,1.5639,0.2619,1621.6,5336.8,6900.7,1302,5279.1,1563.9,261.9,No,No,
1,2,Unpred,Match,Short,1.502,5.2929,0.553,6.4081,4.9061,1.1152,0.5622,1502,5292.9,6408.1,553,4906.1,1115.2,562.2,No,No,
1,2,Unpred,Match,Short,1.4806,5.4683,0.531,6.3971,4.9165,0.9288,0.3978,1480.6,5468.3,6397.1,531,4916.5,928.8,397.8,No,No,
1,2,Unpred,Match,Short,1.476,5.341,0.595,6.5351,5.0591,1.1941,0.5991,1476,5341,6535.1,595,5059.1,1194.1,599.1,No,No,
1,2,Unpred,Match,Long,1.4743,5.39,1.177,6.7828,5.3085,1.3928,0.2158,1474.3,5390,6782.8,1177,5308.5,1392.8,215.8,No,No,
1,2,Unpred,Match,Short,1.4512,5.2447,0.551,6.0648,4.6136,0.8201,0.2691,1451.2,5244.7,6064.8,551,4613.6,820.1,269.1,No,No,
1,2,Unpred,Match,Long,1.6377,5.3111,1.108,6.2566,4.6189,0.9455,-0.1625,1637.7,5311.1,6256.6,1108,4618.9,945.5,-162.5,No,Yes,
1,2,Unpred,Match,Long,1.4954,5.6476,1.229,7.106,5.6106,1.4584,0.2294,1495.4,5647.6,7106,1229,5610.6,1458.4,229.4,No,No,
1,2,Unpred,Match,Short,1.5098,5.3798,0.558,6.1162,4.6064,0.7364,0.1784,1509.8,5379.8,6116.2,558,4606.4,736.4,178.4,No,No,
1,2,Unpred,Match,Short,1.5033,5.1383,0.572,6.0171,4.5138,0.8788,0.3068,1503.3,5138.3,6017.1,572,4513.8,878.8,306.8,No,No,
1,2,Unpred,Match,Short,1.6763,5.5688,0.739,7.4957,5.8194,1.9269,1.1879,1676.3,5568.8,7495.7,739,5819.4,1926.9,1187.9,No,No,
1,2,Unpred,Match,Short,1.482,5.6048,0.469,6.2102,4.7282,0.6054,0.1364,1482,5604.8,6210.2,469,4728.2,605.4,136.4,No,No,
1,2,Unpred,Match,Long,1.6829,5.4093,0.861,6.0226,4.3397,0.6133,-0.2477,1682.9,5409.3,6022.6,861,4339.7,613.3,-247.7,No,No,
1,2,Unpred,Match,Long,1.6391,5.381,0.922,6.2655,4.6264,0.8845,-0.0375,1639.1,5381,6265.5,922,4626.4,884.5,-37.5,No,No,
1,2,Unpred,Match,Long,1.4645,5.3447,0.931,6.4295,4.965,1.0848,0.1538,1464.5,5344.7,6429.5,931,4965,1084.8,153.8,No,No,
1,2,Unpred,Match,Short,1.4944,5.5777,0.59,6.6658,5.1714,1.0881,0.4981,1494.4,5577.7,6665.8,590,5171.4,1088.1,498.1,No,No,
1,3,Pred,Mismatch,Short,1.4648,5.1981,0.445,6.2906,4.8258,1.0925,0.6475,1464.8,5198.1,6290.6,445,4825.8,1092.5,647.5,Yes,No,
1,3,Pred,Mismatch,Short,1.4335,5.5451,0.399,6.4368,5.0033,0.8917,0.4927,1433.5,5545.1,6436.8,399,5003.3,891.7,492.7,Yes,No,
1,3,Pred,Mismatch,Short,1.4627,5.7727,0.742,6.8877,5.425,1.115,0.373,1462.7,5772.7,6887.7,742,5425,1115,373,Yes,No,
1,3,Pred,Mismatch,Short,1.6593,5.3052,0.555,6.0745,4.4152,0.7693,0.2143,1659.3,5305.2,6074.5,555,4415.2,769.3,214.3,Yes,No,
1,3,Pred,Mismatch,Short,1.4752,5.4217,0.725,6.5331,5.0579,1.1114,0.3864,1475.2,5421.7,6533.1,725,5057.9,1111.4,386.4,Yes,No,
1,3,Pred,Mismatch,Short,1.4558,5.2077,0.651,6.0648,4.609,0.8571,0.2061,1455.8,5207.7,6064.8,651,4609,857.1,206.1,Yes,No,
1,3,Pred,Mismatch,Short,1.6721,5.4553,0.775,6.7303,5.0582,1.275,0.5,1672.1,5455.3,6730.3,775,5058.2,1275,500,Yes,No,
1,3,Pred,Mismatch,Short,1.4757,5.4377,1.009,6.8956,5.4199,1.4579,0.4489,1475.7,5437.7,6895.6,1009,5419.9,1457.9,448.9,Yes,No,
1,3,Pred,Mismatch,Short,1.4663,5.4362,0.681,6.6183,5.152,1.1821,0.5011,1466.3,5436.2,6618.3,681,5152,1182.1,501.1,Yes,No,
1,3,Pred,Mismatch,Short,1.5002,5.4696,0.531,6.3954,4.8952,0.9258,0.3948,1500.2,5469.6,6395.4,531,4895.2,925.8,394.8,Yes,No,
1,3,Pred,Mismatch,Short,1.4783,5.2671,0.553,6.2695,4.7912,1.0024,0.4494,1478.3,5267.1,6269.5,553,4791.2,1002.4,449.4,Yes,No,
1,3,Pred,Mismatch,Short,1.5003,5.3685,0.595,6.337,4.8367,0.9685,0.3735,1500.3,5368.5,6337,595,4836.7,968.5,373.5,Yes,No,
1,3,Pred,Mismatch,Short,1.6597,5.3639,0.558,5.9297,4.27,0.5658,0.0078,1659.7,5363.9,5929.7,558,4270,565.8,7.8,Yes,No,
