Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
1,Beach,1,Pred,early,right,Short,chase_early_t,2.35973171,0.738282886,3.730147447,6.089879157,6.538328641,0.448449484,2359.73171,738.282886,3730.147447,6089.879157,6538.328641,448.4494842,y,1,NA
1,Beach,2,Pred,early,right,Long,daddypig_early_t,2.602410735,0.698486347,3.690650439,6.293061174,6.655677595,0.362616421,2602.410735,698.4863472,3690.650439,6293.061174,6655.677595,362.6164207,y,1,NA
1,Beach,3,Pred,late,wrong,Long,mummypig_late_t,2.700804835,0.764833531,3.665147943,6.365952778,6.768371726,0.402418948,2700.804835,764.8335309,3665.147943,6365.952778,6768.371726,402.4189482,n,1,NA
1,Beach,4,Pred,late,right,Long,mickeymouse_late_t,2.707895166,0.939343407,3.716843509,6.424738675,6.756542084,0.331803409,2707.895166,939.3434073,3716.843509,6424.738675,6756.542084,331.8034091,y,1,NA
1,Beach,5,Pred,late,wrong,Long,daddypig_late_t,2.642951696,0.676462608,3.743011726,6.385963421,6.930552002,0.54458858,2642.951696,676.4626076,3743.011726,6385.963421,6930.552002,544.5885803,n,1,NA
1,Beach,6,Pred,early,right,Short,belle_early_t,2.389039529,0.772137704,3.795935903,6.184975432,6.493754461,0.308779029,2389.039529,772.1377038,3795.935903,6184.975432,6493.754461,308.7790286,y,1,NA
1,Beach,7,Pred,early,wrong,Long,mickeymouse_early_t,2.985494347,0.667891749,3.658000323,6.64349467,7.039172381,0.395677711,2985.494347,667.8917485,3658.000323,6643.49467,7039.172381,395.677711,n,1,NA
1,Beach,8,Pred,late,wrong,Long,scoobydoo_late_t,2.680701489,0.8352203,3.678121272,6.358822761,6.70764082,0.348818059,2680.701489,835.2203002,3678.121272,6358.822761,6707.64082,348.818059,n,1,NA
1,Beach,9,Pred,early,wrong,Long,curiousgeorge_early_t,3.359510559,0.709678714,3.821360778,7.180871337,7.568158989,0.387287652,3359.510559,709.6787139,3821.360778,7180.871337,7568.158989,387.2876518,n,1,NA
1,Beach,10,Pred,early,right,Long,scoobydoo_early_t,2.759690809,0.708408199,3.636933993,6.396624803,6.901445985,0.504821182,2759.690809,708.4081986,3636.933993,6396.624803,6901.445985,504.8211823,y,1,NA
1,Beach,11,Pred,late,right,Short,boots_late_t,2.395403726,0.594802119,4.657169799,7.052573525,8.088238325,1.0356648,2395.403726,594.8021188,4657.169799,7052.573525,8088.238325,1035.6648,y,1,NA
1,Beach,12,Pred,late,wrong,Short,chase_late_t,2.493944149,0.723666748,3.773236294,6.267180443,6.498723684,0.231543241,2493.944149,723.6667477,3773.236294,6267.180443,6498.723684,231.543241,n,1,NA
1,Beach,13,Pred,late,right,Long,curiousgeorge_late_t,3.080433277,1.163399483,3.703150427,6.783583704,7.136532459,0.352948755,3080.433277,1163.399483,3703.150427,6783.583704,7136.532459,352.9487548,y,1,NA
1,Beach,14,Pred,early,wrong,Short,boots_early_t,2.359140056,0.768914113,4.418051144,6.7771912,7.36048046,0.58328926,2359.140056,768.9141129,4418.051144,6777.1912,7360.48046,583.2892602,n,1,NA
1,Beach,15,Pred,late,right,Short,po_late_t,2.21460022,0.396681957,3.668503298,5.883103518,6.480215403,0.597111885,2214.60022,396.6819571,3668.503298,5883.103518,6480.215403,597.1118852,y,1,NA
1,Beach,16,Pred,early,right,Short,jake_early_t,2.516715309,0.736252957,3.723528803,6.240244112,7.552542606,1.312298494,2516.715309,736.2529575,3723.528803,6240.244112,7552.542606,1312.298494,y,1,Disfluent Response - eh yes
1,Beach,17,Pred,early,wrong,Long,firemansam_early_t,3.094348969,0.643209759,3.728232001,6.82258097,7.342059996,0.519479026,3094.348969,643.209759,3728.232001,6822.58097,7342.059996,519.479026,n,1,NA
1,Beach,18,Pred,late,wrong,Short,belle_late_t,2.317987846,0.424385048,3.679013314,5.99700116,6.383021924,0.386020764,2317.987846,424.3850482,3679.013314,5997.00116,6383.021924,386.020764,n,1,NA
1,Beach,19,Pred,late,right,Long,firemansam_late_t,2.959190693,0.868586916,3.701510739,6.660701433,7.026392286,0.365690853,2959.190693,868.5869156,3701.510739,6660.701433,7026.392286,365.6908535,y,1,NA
1,Beach,20,Pred,early,right,Long,mummypig_early_t,2.738123096,0.644304223,3.723362845,6.461485941,6.88118299,0.419697049,2738.123096,644.3042228,3723.362845,6461.485941,6881.18299,419.6970495,y,1,NA
1,Beach,21,Pred,late,right,Short,skye_late_t,2.39592187,0.56971903,3.712373372,6.108295242,7.042527419,0.934232177,2395.92187,569.71903,3712.373372,6108.295242,7042.527419,934.232177,y,1,NA
1,Beach,22,Pred,early,wrong,Short,po_early_t,2.423004532,0.675116934,3.645981458,6.06898599,6.365093929,0.296107938,2423.004532,675.1169339,3645.981458,6068.98599,6365.093929,296.1079385,n,1,NA
1,Beach,23,Pred,early,wrong,Short,skye_early_t,2.655690941,0.708612807,3.714203352,6.369894294,6.763939652,0.394045358,2655.690941,708.612807,3714.203352,6369.894294,6763.939652,394.045358,n,1,NA
