Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
1,Beach,2,Pred,early,right,Long,daddypig_early_t,2.602410735,0.698486347,3.749559729,6.351970464,8.010323741,1.658353277,2602.410735,698.4863472,3749.559729,6351.970464,8010.323741,1658.353277,y,1,
1,Beach,3,Pred,late,wrong,Long,mummypig_late_t,2.700804835,0.764833531,3.668307188,6.369112023,7.011632256,0.642520233,2700.804835,764.8335309,3668.307188,6369.112023,7011.632256,642.5202335,n,1,
1,Beach,4,Pred,late,right,Long,mickeymouse_late_t,2.707895166,0.939343407,3.704140964,6.412036131,6.566785424,0.154749294,2707.895166,939.3434073,3704.140964,6412.036131,6566.785424,154.7492938,y,1,
1,Beach,5,Pred,late,wrong,Long,daddypig_late_t,2.642951696,0.676462608,3.71381016,6.356761856,7.03629153,0.679529674,2642.951696,676.4626076,3713.81016,6356.761856,7036.29153,679.5296741,n,1,
1,Beach,6,Pred,early,right,Short,belle_early_t,2.389039529,0.772137704,3.800689638,6.189729167,6.635460498,0.445731331,2389.039529,772.1377038,3800.689638,6189.729167,6635.460498,445.731331,y,1,
1,Beach,7,Pred,early,wrong,Long,mickeymouse_early_t,2.985494347,0.667891749,3.666955109,6.652449456,7.92325756,1.270808104,2985.494347,667.8917485,3666.955109,6652.449456,7923.25756,1270.808104,n,1,
1,Beach,8,Pred,late,wrong,Long,scoobydoo_late_t,2.680701489,0.8352203,3.707917704,6.388619193,6.659856965,0.271237772,2680.701489,835.2203002,3707.917704,6388.619193,6659.856965,271.2377717,n,1,
1,Beach,9,Pred,early,wrong,Long,curiousgeorge_early_t,3.359510559,0.709678714,3.83309512,7.192605679,7.419531901,0.226926222,3359.510559,709.6787139,3833.09512,7192.605679,7419.531901,226.9262219,n,1,
1,Beach,10,Pred,early,right,Long,scoobydoo_early_t,2.759690809,0.708408199,3.631002244,6.390693053,6.836404107,0.445711054,2759.690809,708.4081986,3631.002244,6390.693053,6836.404107,445.7110536,y,1,
1,Beach,11,Pred,late,right,Short,boots_late_t,2.395403726,0.594802119,4.600900822,6.996304548,7.462824623,0.466520074,2395.403726,594.8021188,4600.900822,6996.304548,7462.824623,466.5200745,y,1,
1,Beach,12,Pred,late,wrong,Short,chase_late_t,2.493944149,0.723666748,3.742290393,6.236234542,6.766986089,0.530751547,2493.944149,723.6667477,3742.290393,6236.234542,6766.986089,530.7515475,n,1,
1,Beach,13,Pred,late,right,Long,curiousgeorge_late_t,3.080433277,1.163399483,3.695346499,6.775779775,6.796711656,0.020931881,3080.433277,1163.399483,3695.346499,6775.779775,6796.711656,20.93188065,n,0,
1,Beach,14,Pred,early,wrong,Short,boots_early_t,2.359140056,0.768914113,4.416217927,6.775357984,7.006598234,0.23124025,2359.140056,768.9141129,4416.217927,6775.357984,7006.598234,231.2402504,n,1,
1,Beach,15,Pred,late,right,Short,po_late_t,2.21460022,0.396681957,3.680218596,5.894818816,9.035947538,3.141128722,2214.60022,396.6819571,3680.218596,5894.818816,9035.947538,3141.128722,y,1,
1,Beach,17,Pred,early,wrong,Long,firemansam_early_t,3.094348969,0.643209759,3.691421672,6.78577064,7.002535645,0.216765005,3094.348969,643.209759,3691.421672,6785.77064,7002.535645,216.765005,n,1,
1,Beach,18,Pred,late,wrong,Short,belle_late_t,2.317987846,0.424385048,3.669904769,5.987892615,6.422757372,0.434864757,2317.987846,424.3850482,3669.904769,5987.892615,6422.757372,434.8647572,n,1,
