Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
1,Beach,1,Pred,early,right,Short,chase_early_t,2.35973171,0.738282886,3.725925133,6.085656843,8.057910756,1.972253914,2359.73171,738.282886,3725.925133,6085.656843,8057.910756,1972.253914,y,1,
1,Beach,2,Pred,early,right,Long,daddypig_early_t,2.602410735,0.698486347,3.730391833,6.332802568,6.418146718,0.08534415,2602.410735,698.4863472,3730.391833,6332.802568,6418.146718,85.34414974,y,1,
1,Beach,3,Pred,late,wrong,Long,mummypig_late_t,2.700804835,0.764833531,3.686706127,6.387510962,6.895730693,0.508219731,2700.804835,764.8335309,3686.706127,6387.510962,6895.730693,508.2197313,n,1,
1,Beach,4,Pred,late,right,Long,mickeymouse_late_t,2.707895166,0.939343407,3.716896204,6.42479137,6.392071378,-0.032719992,2707.895166,939.3434073,3716.896204,6424.79137,6392.071378,-32.71999219,y,1,
1,Beach,5,Pred,late,wrong,Long,daddypig_late_t,2.642951696,0.676462608,3.737913947,6.380865643,6.576175266,0.195309623,2642.951696,676.4626076,3737.913947,6380.865643,6576.175266,195.309623,n,1,
1,Beach,6,Pred,early,right,Short,belle_early_t,2.389039529,0.772137704,3.787626359,6.176665889,6.293934332,0.117268443,2389.039529,772.1377038,3787.626359,6176.665889,6293.934332,117.2684433,y,1,
1,Beach,7,Pred,early,wrong,Long,mickeymouse_early_t,2.985494347,0.667891749,3.693363394,6.678857742,6.777005454,0.098147712,2985.494347,667.8917485,3693.363394,6678.857742,6777.005454,98.1477123,n,1,
1,Beach,8,Pred,late,wrong,Long,scoobydoo_late_t,2.680701489,0.8352203,3.729561129,6.410262618,6.628660081,0.218397463,2680.701489,835.2203002,3729.561129,6410.262618,6628.660081,218.3974632,n,1,
1,Beach,9,Pred,early,wrong,Long,curiousgeorge_early_t,3.359510559,0.709678714,3.841836038,7.201346598,7.536224536,0.334877938,3359.510559,709.6787139,3841.836038,7201.346598,7536.224536,334.8779384,n,1,
1,Beach,10,Pred,early,right,Long,scoobydoo_early_t,2.759690809,0.708408199,3.650171336,6.409862145,6.904097226,0.49423508,2759.690809,708.4081986,3650.171336,6409.862145,6904.097226,494.2350801,y,1,
1,Beach,11,Pred,late,right,Short,boots_late_t,2.395403726,0.594802119,4.633401516,7.028805242,7.409351655,0.380546413,2395.403726,594.8021188,4633.401516,7028.805242,7409.351655,380.5464133,y,1,
1,Beach,12,Pred,late,wrong,Short,chase_late_t,2.493944149,0.723666748,3.762490927,6.256435075,7.01150088,0.755065805,2493.944149,723.6667477,3762.490927,6256.435075,7011.50088,755.065805,n,1,
1,Beach,13,Pred,late,right,Long,curiousgeorge_late_t,3.080433277,1.163399483,3.751389877,6.831823153,7.149629222,0.317806069,3080.433277,1163.399483,3751.389877,6831.823153,7149.629222,317.8060686,y,1,
1,Beach,14,Pred,early,wrong,Short,boots_early_t,2.359140056,0.768914113,4.421543076,6.780683133,6.823794225,0.043111093,2359.140056,768.9141129,4421.543076,6780.683133,6823.794225,43.11109268,n,1,
1,Beach,16,Pred,early,right,Short,jake_early_t,2.516715309,0.736252957,3.724627231,6.24134254,6.210910862,-0.030431678,2516.715309,736.2529575,3724.627231,6241.34254,6210.910862,-30.43167833,y,1,
1,Beach,17,Pred,early,wrong,Long,firemansam_early_t,3.094348969,0.643209759,3.712297119,6.806646087,7.298813,0.492166913,3094.348969,643.209759,3712.297119,6806.646087,7298.813,492.1669133,n,1,
1,Beach,18,Pred,late,wrong,Short,belle_late_t,2.317987846,0.424385048,3.676123523,5.994111369,6.403648971,0.409537602,2317.987846,424.3850482,3676.123523,5994.111369,6403.648971,409.5376022,n,1,
1,Beach,19,Pred,late,right,Long,firemansam_late_t,2.959190693,0.868586916,3.731966399,6.691157092,6.695119096,0.003962004,2959.190693,868.5869156,3731.966399,6691.157092,6695.119096,3.962003798,y,1,
1,Beach,20,Pred,early,right,Long,mummypig_early_t,2.738123096,0.644304223,3.719689407,6.457812504,11.51133437,5.053521862,2738.123096,644.3042228,3719.689407,6457.812504,11511.33437,5053.521862,y,1,
