EVERYTHING DUMMY CODED,,mean,se_mean,sd,2.50%,50%,97.50%,n_eff,Rhat,,95% credible interval does not contain0
Intercept - Adult - Match - Pred,beta[1],839.36,2.38,21.55,794.09,839.54,880.25,82,1.06,,1
Effect of Match,beta[2],50.87,0.27,9.37,33.29,50.74,69.26,1195,1,,1
Effect of Pred,beta[3],24.55,0.37,10.54,4.73,24.54,46.06,794,1,,1
Effect of 5-year-olds,beta[4],-4.07,0.53,13.36,-33.34,-2.46,19.88,625,1,,
Effect of 3-year-olds,beta[5],4.32,0.43,12.42,-17.58,2.67,33.41,831,1.01,,
Match * Pred Interaction,beta[6],-1.31,0.27,8.72,-20.91,-0.76,14.9,1009,1,,
5-year-old * Match,beta[7],12.71,0.48,13.04,-7.53,10.77,41.69,737,1,,
3-year-old * Match,beta[8],7.94,0.37,11.29,-11.4,5.84,34.13,931,1,,
5-year-old * Pred,beta[9],17.73,0.56,14.89,-4.9,15.84,51.65,705,1.01,,
3-year-old * Pred,beta[10],37.77,0.71,20.7,1.8,36.61,81.88,861,1,,1
5-year-old * Match * Pred,beta[11],12.91,0.43,14.59,-8.89,10.13,46.75,1127,1,,
3-year-old * Match * Pred,beta[12],3.06,0.39,12.17,-20.08,1.89,30.53,976,1,,
,,,,,,,,,,,
Intercept - Adult - Match - Pred,beta_s[1],135.56,0.2,6.01,123.96,135.47,146.95,860,1,,1
Effect of Match,beta_s[2],-29.99,0.29,7.65,-45.21,-29.96,-15.14,715,1,,1
Effect of Pred,beta_s[3],6.24,0.2,6.62,-5.55,5.95,20.63,1051,1,,
Effect of 5-year-olds,beta_s[4],13.23,0.35,9.82,-3.64,12.41,33.75,795,1.01,,
Effect of 3-year-olds,beta_s[5],22.99,0.35,10.83,2.49,22.67,44.72,972,1,,1
Match * Pred Interaction,beta_s[6],-7.68,0.27,8.46,-26.5,-6.71,6.9,950,1,,
5-year-old * Match,beta_s[7],7.21,0.34,10.38,-9.86,5.59,30.9,935,1,,
3-year-old * Match,beta_s[8],1.47,0.26,9.55,-17.87,1.12,22.34,1319,1,,
5-year-old * Pred,beta_s[9],-2.46,0.28,9.02,-22.35,-1.69,14.36,1049,1,,
3-year-old * Pred,beta_s[10],7.62,0.3,11.09,-11.2,5.85,33.57,1407,1,,
5-year-old * Match * Pred,beta_s[11],0.79,0.31,10.92,-19.85,0.32,25.08,1248,1,,
3-year-old * Match * Pred,beta_s[12],5.63,0.29,10.96,-12.92,3.93,30.74,1451,1,,
,,,,,,,,,,,
Intercept - Adult - Match - Pred,beta_t[1],224.85,0.35,9.84,206.35,224.83,244.42,800,1,,1
Effect of Match,beta_t[2],2.1,0.24,8.28,-13.63,1.22,20.6,1173,1,,
Effect of Pred,beta_t[3],40.22,0.49,14.29,12.47,40.03,68.65,861,1,,1
Effect of 5-year-olds,beta_t[4],348.2,0.62,20.58,309.77,348.3,389.61,1109,1,,1
Effect of 3-year-olds,beta_t[5],292.44,0.87,23.22,246.82,292.76,338.06,715,1.01,,1
Match * Pred Interaction,beta_t[6],12.91,0.4,13.08,-8.37,11.12,41.44,1051,1,,
5-year-old * Match,beta_t[7],9.01,0.47,14.62,-13.78,5.84,44.44,954,1,,
3-year-old * Match,beta_t[8],15.38,0.61,17.71,-11.45,11.42,57.08,857,1,,
5-year-old * Pred,beta_t[9],25.55,0.66,21.91,-5.66,21.7,76.74,1094,1,,
3-year-old * Pred,beta_t[10],44.53,1.01,29.63,-1.61,41.3,106.87,868,1.01,,1
5-year-old * Match * Pred,beta_t[11],7.16,0.44,14.2,-15.28,4.45,41.21,1043,1,,
3-year-old * Match * Pred,beta_t[12],11.01,0.56,16.75,-13.23,7.16,52.23,908,1,,
