,mean,se_mean,sd,2.50%,50%,97.50%,n_eff,Rhat
beta[1],837.49,3.78,26.32,777.7,839.86,881.62,49,1.03
beta[2],49.73,0.35,9.34,30.77,49.86,67.46,716,1
beta[3],24.15,0.4,10.88,3.33,23.92,45.28,744,1
beta[4],-4.17,0.73,13.44,-35.34,-2.3,21.09,338,1
beta[5],5.92,1.28,16.41,-19.1,2.93,47.1,163,1
beta[6],-0.81,0.29,8.9,-20.15,-0.87,17.24,915,1
beta[7],12.93,0.45,12.54,-7.26,11.49,40,781,1
beta[8],7.95,0.39,11.48,-10.85,6.21,34.68,856,1
beta[9],17.06,0.57,14.65,-5.34,15.07,49.42,669,1
beta[10],38.57,0.91,20.83,0.71,37.95,81.68,527,1
beta[11],13.88,0.53,15.56,-8.77,10.69,50.81,857,1
beta[12],2.42,0.36,11.62,-19.94,1.69,30.71,1049,1
beta_s[1],136.11,0.24,6.23,123.77,136.2,148.17,674,1.01
beta_s[2],-31.1,0.33,8.2,-47.08,-30.96,-14.23,626,1
beta_s[3],5.89,0.23,6.58,-4.8,4.99,20.7,830,1
beta_s[4],12.59,0.41,9.9,-4.17,11.62,33.09,577,1
beta_s[5],23.23,0.4,11.51,1.99,22.91,46.29,812,1
beta_s[6],-6.73,0.28,8.63,-25.55,-6.03,8.03,961,1
beta_s[7],8.38,0.41,11.12,-9.89,7.05,32.77,742,1
beta_s[8],1.89,0.32,9.63,-17.41,1.31,22.51,886,1
beta_s[9],-2.29,0.3,9.25,-22.07,-1.74,15.86,935,1
beta_s[10],7.45,0.34,11.07,-11.57,5.8,32.79,1065,1
beta_s[11],0.57,0.38,11.33,-22.66,0.3,24.24,912,1
beta_s[12],5.58,0.35,11.8,-14.88,3.93,33.84,1132,1
beta_t[1],224.44,0.41,10.38,204.45,224.09,244.91,631,1
beta_t[2],2.51,0.3,8.27,-12.75,1.76,20.79,752,1
beta_t[3],40.57,0.57,14.86,8.57,40.89,68.26,676,1
beta_t[4],348.07,0.75,21.5,304.27,348.67,387.23,824,1
beta_t[5],291.66,0.89,22.69,246.62,291.69,337.65,650,1
beta_t[6],12.63,0.51,13.2,-8.2,10.68,43.75,667,1
beta_t[7],8.82,0.53,14.02,-13.3,6.19,41.95,709,1
beta_t[8],16.37,0.65,18.1,-9.23,12.36,60.37,783,1
beta_t[9],25.84,0.75,21.81,-5.92,21.87,76.36,846,1
beta_t[10],43.89,1.01,28.81,0.04,40.63,105.74,809,1
beta_t[11],6.76,0.41,13.51,-15.5,4.15,40.84,1089,1
beta_t[12],11.44,0.61,16.92,-13.64,8.07,54.52,767,1
