Subj,Age,Condition,Pred,Match,Start Time,Onset of 1st syllable in character name ,Time to respond ,NameLength,Start time - time to respond,Onset of 1st syllable - time to respond,RT,Response?
1,5,1,Pred,Same,1478.36203,5359.721067,6746.553691,447,5268.191662,1386.832624,939.832624,Yes
1,5,1,Pred,Same,1458.943804,5423.443245,7083.00115,775,5624.057346,1659.557905,884.557905,Yes
1,5,1,Pred,Same,1479.88437,5301.587228,7061.457804,891,5581.573433,1759.870575,868.870575,Yes
1,5,1,Pred,Same,1482.41748,5438.728907,6884.410348,707,5401.992868,1445.681442,738.681442,Yes
1,5,1,Pred,Same,1638.51423,5224.195119,6547.888972,647,4909.374742,1323.693853,676.693853,Yes
1,5,1,Pred,Same,1495.591655,5557.59608,6600.58315,399,5104.991495,1042.98707,643.98707,Yes
1,5,1,Pred,Same,1669.143502,5349.510234,6446.090092,555,4776.946589,1096.579857,541.579857,Yes
1,5,1,Pred,Same,1657.334144,5456.158778,6581.380252,681,4924.046108,1125.221474,444.221474,Yes
1,5,1,Pred,Same,1477.314165,5755.426778,6893.76863,742,5416.454464,1138.341851,396.341851,Yes
1,5,1,Pred,Same,1526.626416,5480.011539,7558.59547,1768,6031.969055,2078.583931,310.583931,Yes
1,5,1,Pred,Same,1633.668113,5330.202621,6427.15855,810,4793.490437,1096.955929,286.955929,Yes
1,5,1,Pred,Same,1498.613763,5506.787943,7062.198819,1269,5563.585057,1555.410876,286.410876,Yes
1,5,1,Pred,Same,1507.790167,5469.246044,6715.699553,1009,5207.909386,1246.453508,237.453508,Yes
1,5,1,Pred,Same,1673.644412,5296.828234,6333.171278,824,4659.526866,1036.343044,212.343044,Yes
1,5,1,Pred,Same,1649.096908,5271.154984,6386.584233,927,4737.487324,1115.429248,188.429248,Yes
1,5,1,Pred,Same,1476.581497,5433.471499,6713.020774,1153,5236.439277,1279.549275,126.549275,Yes
1,5,1,Pred,Same,1647.179754,5374.670387,6351.703279,948,4704.523524,977.032891,29.032891,Yes
1,5,1,Pred,Same,1635.264358,5383.804479,8525.296031,1329,6890.031672,3141.491552,0,Yes
2,5,1,Pred,Same,1495.330293,5451.705364,8158.027129,707,6662.696836,2706.321765,1999.321765,Yes
