Subj,Group,Condition,Pred,Match,Start Time,Onset of 1st syllable in character name ,NameLength,Time to respond ,Start time - time to respond,Onset of 1st syllable - time to respond,RT,Response?
1,Adults,1,Pred,Same,1475.6,5439,707,8640.1,7164.5,3201.1,,Yes
1,Adults,1,Pred,Same,1472.3,5336.1,863,8381.7,6909.4,3045.6,,Yes
1,Adults,1,Pred,Same,1481.6,5759.4,742,7359.3,5877.7,1599.9,857.9,Yes
1,Adults,1,Pred,Same,1496.7,5326.4,891,6851.6,5354.9,1525.2,634.2,Yes
1,Adults,1,Pred,Same,1460.5,5427.9,775,6817.3,5356.8,1389.4,614.4,Yes
1,Adults,1,Pred,Same,1480.4,5496.1,1269,7355.6,5875.2,1859.5,590.5,Yes
1,Adults,1,Pred,Same,1432.9,5531.1,399,6491.1,5058.2,960,561,Yes
1,Adults,1,Pred,Same,1654,5258.4,927,6584.8,4930.8,1326.4,399.4,Yes
1,Adults,1,Pred,Same,1667.3,5446.4,681,6507.7,4840.4,1061.3,380.3,Yes
1,Adults,1,Pred,Same,1676.9,5337.4,555,6265.3,4588.4,927.9,372.9,Yes
1,Adults,1,Pred,Same,1671.7,5267.3,824,6417.9,4746.2,1150.6,326.6,Yes
1,Adults,1,Pred,Same,1514.7,5468.2,1009,6798.1,5283.4,1329.9,320.9,Yes
1,Adults,1,Pred,Same,1476.8,5433,1153,6897.5,5420.7,1464.5,311.5,Yes
1,Adults,1,Pred,Same,1691.5,5339.2,810,6437.5,4746,1098.3,288.3,Yes
1,Adults,1,Pred,Same,1482.9,5227.2,399,5864.8,4381.9,637.6,238.6,Yes
1,Adults,1,Pred,Same,1672,5372.1,1329,6919,5247,1546.9,217.9,Yes
1,Adults,1,Pred,Same,1662,5247,647,6081.9,4419.9,834.9,187.9,Yes
1,Adults,1,Pred,Same,1637.2,5373.3,948,6507.4,4870.2,1134.1,186.1,Yes
1,Adults,1,Pred,Same,1482.2,5375,447,5935.3,4453.1,560.3,113.3,Yes
1,Adults,1,Pred,Same,1501.8,5500.7,959,6570.8,5069,1070.1,111.1,Yes
1,Adults,1,Pred,Same,1450.7,5413.9,1768,7223.3,5772.6,1809.4,41.4,Yes
1,Adults,1,Pred,Same,1467.1,5395.8,788,6063.7,4596.6,667.9,-120.1,Yes
1,Adults,1,Pred,Same,1495.5,5623.8,715,6217.6,4722.1,593.8,-121.2,No
1,Adults,1,Pred,Same,1662.1,5202.9,539,5498.3,3836.2,295.4,-243.6,Yes
2,Adults,1,Pred,Same,1660.7,5273.5,824,7881.1,6220.4,2607.6,1783.6,
2,Adults,1,Pred,Same,1658.9,5191.4,539,7101.2,5442.3,1909.8,1370.8,
2,Adults,1,Pred,Same,1476.1,5220.1,399,6973.5,5497.4,1753.4,1354.4,
2,Adults,1,Pred,Same,1499.8,5427.5,788,7420.7,5920.9,1993.2,1205.2,
2,Adults,1,Pred,Same,1643.2,5434.1,681,7310.7,5667.5,1876.6,1195.6,
2,Adults,1,Pred,Same,1477.6,5443.2,775,7405.4,5927.8,1962.2,1187.2,
2,Adults,1,Pred,Same,1693.4,5417.5,1329,7899.7,6206.3,2482.2,1153.2,
2,Adults,1,Pred,Same,1491.6,5554.8,399,6735.7,5244.1,1180.9,781.9,
2,Adults,1,Pred,Same,1482,5319.9,863,6934.1,5452.1,1614.2,751.2,
2,Adults,1,Pred,Same,1492.7,5451.4,707,6907.5,5414.8,1456.1,749.1,
2,Adults,1,Pred,Same,1476.2,5423.1,1153,7155.9,5679.7,1732.8,579.8,
2,Adults,1,Pred,Same,1661.1,5320.2,555,6454.2,4793.1,1134,579,
2,Adults,1,Pred,Same,1489.6,5756.7,742,7076.4,5586.8,1319.7,577.7,
2,Adults,1,Pred,Same,1481.6,5370.1,1768,7707.2,6225.6,2337.1,569.1,
2,Adults,1,Pred,Same,1449.5,5398.2,1009,6947.9,5498.4,1549.7,540.7,
2,Adults,1,Pred,Same,1496.9,5512.9,1269,7277.3,5780.4,1764.4,495.4,
2,Adults,1,Pred,Same,1463.9,5490.9,959,6877,5413.1,1386.1,427.1,
2,Adults,1,Pred,Same,1662.2,5258,927,6584.9,4922.7,1326.9,399.9,
2,Adults,1,Pred,Same,1494.9,5313.9,891,6596.6,5101.7,1282.7,391.7,
2,Adults,1,Pred,Same,1666.3,5260.9,810,6452.2,4785.9,1191.3,381.3,
2,Adults,1,Pred,Same,1638.7,5244.4,647,6137.9,4499.2,893.5,246.5,
2,Adults,1,Pred,Same,1666.7,5370.4,948,6529.8,4863.1,1159.4,211.4,
2,Adults,1,Pred,Same,1479.7,5602.7,715,6366.7,4887,764,49,
3,Adults,1,Pred,Same,1643.7,5319,555,6476.3,4832.6,1157.3,602.3,
3,Adults,1,Pred,Same,1490,5744.3,742,7055.6,5565.6,1311.3,569.3,
3,Adults,1,Pred,Same,1653.8,5446,681,6638.7,4984.9,1192.7,511.7,
3,Adults,1,Pred,Same,1478.8,5222.8,399,6133,4654.2,910.2,511.2,
3,Adults,1,Pred,Same,1661.4,5256.5,927,6683.5,5022.1,1427,500,
3,Adults,1,Pred,Same,1478.9,5319.3,863,6661.8,5182.9,1342.5,479.5,
3,Adults,1,Pred,Same,1495.2,5442,1009,6889.4,5394.2,1447.4,438.4,
3,Adults,1,Pred,Same,1490.2,5529.5,399,6309.9,4819.7,780.4,381.4,
3,Adults,1,Pred,Same,1474.7,5367.2,788,6530.6,5055.9,1163.4,375.4,
3,Adults,1,Pred,Same,1496.5,5512.3,1269,7110.8,5614.3,1598.5,329.5,
3,Adults,1,Pred,Same,1481.3,5301.2,891,6520.3,5039,1219.1,328.1,
3,Adults,1,Pred,Same,1673.2,5286.7,647,6241.6,4568.4,954.9,307.9,
3,Adults,1,Pred,Same,1656.2,5201.7,539,6046.9,4390.7,845.2,306.2,
3,Adults,1,Pred,Same,1437.6,5427.1,775,6503.5,5065.9,1076.4,301.4,
3,Adults,1,Pred,Same,1459.9,5487.7,959,6724.7,5264.8,1237,278,
3,Adults,1,Pred,Same,1468.3,5453.1,707,6429.4,4961.1,976.3,269.3,
3,Adults,1,Pred,Same,1503.1,5383,447,6089.2,4586.1,706.2,259.2,
3,Adults,1,Pred,Same,1673.6,5275.5,810,6343.3,4669.7,1067.8,257.8,
3,Adults,1,Pred,Same,1686.3,5299,824,6367.9,4681.6,1068.9,244.9,
3,Adults,1,Pred,Same,1476.2,5425.7,1153,6792.7,5316.5,1367,214,
3,Adults,1,Pred,Same,1661,5366.8,948,6511.3,4850.3,1144.5,196.5,
3,Adults,1,Pred,Same,1424.2,5605.7,715,6503.4,5079.2,897.7,182.7,
3,Adults,1,Pred,Same,1478.6,5456.4,1768,7337.3,5858.7,1880.9,112.9,
3,Adults,1,Pred,Same,1670.2,5395.7,1329,6705,5034.8,1309.3,-19.7,
4,Adults,1,Pred,Same,1646.1,5320,555,6380.9,4734.8,1060.9,505.9,
4,Adults,1,Pred,Same,1375.8,5760.8,742,6769.8,5394,1009,267,
4,Adults,1,Pred,Same,1669.3,5259.3,927,6435.8,4766.5,1176.5,249.5,
4,Adults,1,Pred,Same,1471.8,5535.6,399,6179.5,4707.7,643.9,244.9,
